,history_length,learning_rate,step,training_loss,training_accuracy,validation_loss,validation_accuracy
0,5.0,1e-05,1.0,1.6264442205429077,20.3125,1.6187480688095093,16.40625
1,5.0,1e-05,11.0,1.5824334621429443,25.78125,1.618650197982788,18.75
2,5.0,1e-05,21.0,1.561946153640747,29.6875,1.6093573570251465,21.875
3,5.0,1e-05,31.0,1.5346215963363647,35.9375,1.588015079498291,25.78125
4,5.0,1e-05,41.0,1.5358712673187256,38.28125,1.5564438104629517,36.71875
5,5.0,1e-05,51.0,1.49318528175354,49.21875,1.5202796459197998,39.84375
6,5.0,1e-05,61.0,1.4791667461395264,41.40625,1.4956109523773193,35.9375
7,5.0,1e-05,71.0,1.4467288255691528,42.1875,1.432989478111267,50.0
8,5.0,1e-05,81.0,1.4204834699630737,40.625,1.4266728162765503,42.96875
9,5.0,1e-05,91.0,1.3962433338165283,50.78125,1.349137783050537,58.59375
10,5.0,1e-05,101.0,1.3301565647125244,54.6875,1.3356305360794067,53.90625
11,5.0,1e-05,111.0,1.2650659084320068,53.125,1.3181431293487549,50.0
12,5.0,1e-05,121.0,1.2537801265716553,55.46875,1.2663488388061523,58.59375
13,5.0,1e-05,131.0,1.3291468620300293,49.21875,1.200819969177246,60.15625
14,5.0,1e-05,141.0,1.218018651008606,56.25,1.1820440292358398,60.15625
15,5.0,1e-05,151.0,1.2590025663375854,53.125,1.1723817586898804,55.46875
16,5.0,1e-05,161.0,1.2086788415908813,58.59375,1.0155315399169922,66.40625
17,5.0,1e-05,171.0,1.111459493637085,59.375,1.1094608306884766,60.15625
18,5.0,1e-05,181.0,1.1530616283416748,55.46875,1.1194449663162231,59.375
19,5.0,1e-05,191.0,1.1526919603347778,53.90625,1.072090983390808,65.625
20,5.0,1e-05,201.0,1.068202257156372,62.5,1.0280500650405884,62.5
21,5.0,1e-05,211.0,0.9876036047935486,67.96875,1.005411148071289,62.5
22,5.0,1e-05,221.0,1.0691633224487305,57.03125,0.9487277865409851,67.1875
23,5.0,1e-05,231.0,1.0436508655548096,60.9375,1.0075995922088623,63.28125
24,5.0,1e-05,241.0,1.1741186380386353,53.90625,0.9835036993026733,61.71875
25,5.0,1e-05,251.0,1.023713231086731,62.5,0.9259002208709717,64.84375
26,5.0,1e-05,261.0,0.997517466545105,62.5,0.9219428300857544,69.53125
27,5.0,1e-05,271.0,1.10606050491333,57.03125,0.9443965554237366,61.71875
28,5.0,1e-05,281.0,0.9050933122634888,65.625,0.9824557304382324,63.28125
29,5.0,1e-05,291.0,0.9486984610557556,64.0625,0.9290139079093933,63.28125
30,5.0,1e-05,301.0,1.0541634559631348,60.9375,0.946467399597168,61.71875
31,5.0,1e-05,311.0,0.9518625140190125,60.9375,0.9568718075752258,61.71875
32,5.0,1e-05,321.0,0.876319944858551,67.1875,0.920537531375885,68.75
33,5.0,1e-05,331.0,0.8258768916130066,71.09375,0.8698425889015198,67.1875
34,5.0,1e-05,341.0,0.9599872827529907,60.15625,0.9696268439292908,60.9375
35,5.0,1e-05,351.0,0.8934786915779114,60.15625,0.8775856494903564,66.40625
36,5.0,1e-05,361.0,0.932682454586029,61.71875,0.8990048170089722,66.40625
37,5.0,1e-05,371.0,0.8961163759231567,65.625,0.8996890783309937,63.28125
38,5.0,1e-05,381.0,0.9720888137817383,62.5,0.8435788750648499,67.96875
39,5.0,1e-05,391.0,0.8904367685317993,62.5,0.8771135210990906,71.875
40,5.0,1e-05,401.0,0.903946578502655,62.5,0.815073549747467,68.75
41,5.0,1e-05,411.0,0.928467869758606,66.40625,0.843073844909668,67.1875
42,5.0,1e-05,421.0,0.836622953414917,71.875,0.850218653678894,69.53125
43,5.0,1e-05,431.0,0.909907341003418,64.0625,0.8761582374572754,60.9375
